user,item,rating
99999,0099993805,6
99999,0345339711,10
99999,0345339738,10
99999,0385504209,10
99999,0553296981,4
99999,0618002227,10
99999,0345339681,8
99999,0671027360,8
99999,0345391802,9
99999,0151008116,7
99999,0439064864,8
99999,0439136350,8
99999,0439139600,8
99999,043935806X,8
99999,0451523377,9
99999,0312924585,6
99999,0345337662,7
99999,0399501487,5
99999,0805062971,10
99999,0553287737,7
99999,0345303067,7
99999,0451149513,6
99999,043936213X,8
99999,0553210793,3
99999,0553260111,8
99999,0671708635,3
99999,0553263226,8
99999,0345342968,5
99999,0061056774,5
99999,0553573403,10
